aX,aY,aZ,gX,gY,gZ
0.953,0.124,-0.156,2.136,0.305,2.625

1.720,0.864,0.252,53.406,-112.549,15.686
1.877,0.748,0.250,43.091,-110.046,9.644
1.940,0.752,0.297,34.729,-110.291,11.780
2.111,0.967,0.400,35.889,-110.413,13.855
2.138,1.171,0.547,41.870,-111.450,9.766
2.313,1.437,0.647,46.082,-104.065,-2.686
2.462,1.642,0.773,46.021,-91.919,-15.259
2.536,1.785,0.933,34.241,-74.463,-23.315
2.473,1.932,1.038,13.672,-55.054,-24.841
2.427,2.115,1.141,-3.906,-32.776,-32.043
2.306,2.328,1.183,-13.794,-10.254,-43.518
2.175,2.469,1.161,-18.921,10.803,-60.486
2.063,2.526,1.136,-22.888,28.259,-79.102
1.882,2.525,1.145,-36.743,43.030,-95.093
1.914,2.505,1.114,-63.965,58.044,-110.779
1.763,2.392,1.066,-96.130,74.890,-120.544
1.548,2.250,0.971,-125.977,93.750,-128.723
1.350,2.022,0.828,-148.499,104.553,-140.198
1.176,1.731,0.676,-163.574,108.215,-151.733
1.015,1.462,0.583,-172.668,102.844,-160.156
0.874,1.224,0.598,-174.438,92.773,-165.710
0.729,0.992,0.709,-169.434,84.473,-170.776
0.685,0.707,0.778,-165.466,81.177,-176.147
0.650,0.540,0.837,-164.429,85.693,-176.514
0.533,0.422,0.787,-166.260,91.797,-172.119
0.462,0.194,0.702,-173.950,100.403,-170.959
0.437,-0.153,0.577,-183.594,109.558,-169.373
0.377,-0.442,0.421,-189.270,114.746,-157.837
0.269,-0.579,0.323,-181.641,111.084,-140.930
0.117,-0.600,0.330,-161.499,96.558,-128.662
0.087,-0.651,0.374,-142.456,76.538,-127.930
0.050,-0.781,0.493,-131.348,63.843,-127.808
0.026,-0.939,0.531,-129.272,57.495,-123.779
0.054,-1.059,0.431,-130.005,56.458,-117.065
0.038,-1.199,0.280,-122.864,57.556,-108.765
0.007,-1.317,0.146,-105.286,55.664,-98.694
-0.019,-1.344,0.043,-80.505,48.279,-87.708
-0.023,-1.271,-0.000,-58.411,34.668,-76.660
-0.015,-1.194,0.054,-46.814,19.836,-65.613
0.029,-1.144,0.135,-50.598,9.949,-52.124
0.064,-1.084,0.179,-63.232,7.263,-35.095
0.112,-1.020,0.127,-68.665,10.742,-19.287
0.180,-0.993,0.011,-58.533,18.494,-11.292
0.219,-0.970,-0.110,-41.321,24.597,-5.676
0.253,-0.902,-0.236,-27.588,24.841,1.709
0.288,-0.808,-0.301,-21.240,21.362,12.451
0.312,-0.707,-0.318,-20.874,15.198,23.682
0.354,-0.586,-0.292,-23.315,9.155,32.776
0.451,-0.450,-0.240,-24.902,4.272,38.696
0.520,-0.398,-0.195,-23.865,-0.916,42.419
0.609,-0.352,-0.215,-22.217,-4.700,44.067
0.681,-0.292,-0.216,-17.334,-4.211,46.753
0.719,-0.200,-0.184,-13.062,-1.587,51.208
0.767,-0.093,-0.167,-13.184,-0.366,54.260
0.827,-0.013,-0.162,-15.259,0.427,54.504
0.857,0.051,-0.163,-15.320,0.977,53.040
0.874,0.129,-0.165,-11.475,0.427,49.500
0.887,0.189,-0.149,-6.470,-1.160,41.809
0.907,0.213,-0.137,-2.869,-2.869,32.227
0.945,0.176,-0.155,-0.854,-1.831,22.888
0.970,0.132,-0.179,0.854,0.244,15.991
0.983,0.098,-0.187,4.150,1.160,11.841
0.994,0.082,-0.186,7.446,2.502,8.728
0.990,0.072,-0.195,8.301,4.883,7.507
0.985,0.077,-0.217,6.775,6.409,8.362
0.975,0.089,-0.235,4.395,6.836,9.094
0.963,0.113,-0.255,3.906,4.456,8.423
0.963,0.128,-0.255,6.287,0.610,5.127
0.968,0.111,-0.259,10.254,-3.479,-0.305
0.975,0.073,-0.230,14.893,-7.507,-4.883
0.998,0.058,-0.184,18.738,-11.169,-8.545
1.002,0.051,-0.142,19.226,-11.902,-9.094
1.009,0.049,-0.122,16.235,-10.132,-7.935
1.012,0.030,-0.112,10.803,-7.568,-5.493
1.004,0.019,-0.116,4.028,-4.761,-2.441
1.000,0.005,-0.130,-1.038,-3.052,-0.061
0.989,-0.001,-0.150,-2.319,-2.686,1.587
0.974,-0.001,-0.167,-0.610,-3.418,1.465
0.964,-0.001,-0.174,2.686,-5.127,0.732
0.962,0.004,-0.175,4.822,-7.080,0.183
0.969,0.003,-0.170,6.409,-9.277,0.122
0.986,-0.001,-0.151,7.080,-9.949,0.488
0.994,0.006,-0.140,5.066,-8.179,2.502
0.986,0.014,-0.141,1.099,-5.737,5.737
0.998,0.022,-0.161,-2.075,-4.211,8.545
0.992,0.036,-0.163,-2.930,-3.418,10.010
0.990,0.059,-0.149,-1.831,-4.089,10.437
0.991,0.081,-0.136,-1.099,-4.700,9.521
0.989,0.096,-0.128,-1.831,-4.578,7.935
0.995,0.088,-0.124,-1.526,-4.028,6.042
1.001,0.076,-0.131,1.770,-4.333,3.845
1.001,0.069,-0.126,6.592,-4.517,1.343
1.005,0.050,-0.107,9.399,-4.517,-0.305
1.001,0.040,-0.097,8.240,-3.357,0.305
0.994,0.049,-0.100,5.310,-1.160,2.380
0.980,0.077,-0.120,4.517,0.732,3.784
0.975,0.095,-0.143,4.944,2.319,3.418
0.973,0.095,-0.164,4.761,2.747,2.136
0.975,0.082,-0.174,3.723,1.465,1.099
0.975,0.073,-0.172,2.747,0.244,0.244
0.971,0.059,-0.167,2.930,0.122,-0.244
0.967,0.047,-0.177,3.845,0.793,-0.488
0.966,0.049,-0.192,4.150,1.282,-0.122
0.966,0.056,-0.196,2.991,1.038,0.977
0.968,0.059,-0.196,0.366,0.610,2.014
0.964,0.061,-0.195,-1.709,0.305,2.808
0.961,0.068,-0.190,-1.465,-0.061,2.625
0.958,0.067,-0.178,1.587,-0.916,1.282
0.960,0.065,-0.170,5.005,-2.686,-0.610
0.962,0.066,-0.158,7.263,-3.662,-2.319
0.976,0.058,-0.143,7.751,-4.089,-3.113
0.987,0.048,-0.130,6.348,-2.991,-3.174
0.989,0.035,-0.128,4.639,-0.732,-2.563
0.976,0.025,-0.141,3.723,1.221,-1.770
0.965,0.021,-0.158,3.662,2.136,-0.732
0.959,0.029,-0.167,3.662,1.587,0.183
0.961,0.030,-0.175,3.235,0.427,0.671
0.966,0.027,-0.178,0.488,-0.793,1.282
0.966,0.025,-0.183,-1.587,-2.014,2.502

1.805,0.854,0.066,40.466,-96.558,-22.217
1.947,0.718,0.037,39.978,-95.886,-36.133
2.004,0.615,0.050,37.354,-91.614,-45.044
