aX,aY,aZ,gX,gY,gZ
1.590,0.067,1.093,-5.981,-14.160,73.547
1.684,0.112,1.033,-2.197,-16.968,83.069
1.751,0.052,0.994,-0.488,-18.860,92.346
1.787,0.009,0.966,-6.409,-20.569,105.957
1.763,-0.003,0.962,-18.738,-20.935,121.643
1.718,0.059,0.911,-27.649,-17.212,134.399
1.580,0.142,0.833,-23.865,-12.146,140.381
1.478,0.225,0.736,-11.230,-7.568,139.526
1.269,0.364,0.558,0.000,-6.104,136.353
1.022,0.569,0.344,7.263,-8.484,127.625
0.776,0.679,0.221,10.498,-20.386,109.253
0.583,0.719,0.139,2.075,-39.795,85.083
0.411,0.676,0.057,-20.264,-59.082,63.721
0.194,0.623,-0.015,-45.410,-80.811,45.593
-0.016,0.500,0.034,-59.021,-101.929,28.748
-0.202,0.364,0.167,-58.472,-117.249,15.503
-0.321,0.264,0.306,-45.837,-123.840,5.981
-0.462,0.193,0.444,-19.104,-117.554,0.793
-0.594,0.099,0.598,15.869,-99.060,-2.319
-0.746,0.129,0.690,48.157,-75.317,-3.296
-0.977,0.249,0.690,69.519,-51.331,-3.357
-1.222,0.284,0.606,75.623,-32.654,-7.019
-1.422,0.271,0.577,46.875,-27.100,-7.874
-1.461,0.180,0.694,-11.414,-30.640,-1.953
-1.648,0.066,0.804,-62.622,-29.907,14.954
-1.936,0.198,0.829,-72.876,-26.123,26.794
-2.118,0.313,0.814,-26.184,-29.419,2.502
-1.863,0.067,0.961,54.810,-31.250,-49.377
-1.649,-0.118,1.074,109.192,-26.611,-76.233
-1.602,-0.151,1.090,117.676,-19.409,-71.960
-1.568,-0.090,1.051,102.417,-10.376,-64.331
-1.384,-0.176,1.021,87.646,-7.202,-68.115
-1.121,-0.260,0.998,82.825,-5.859,-70.435
-0.985,-0.126,0.933,90.576,2.563,-63.171
-0.989,-0.044,0.849,104.614,14.404,-59.998
-0.942,-0.150,0.816,106.323,19.043,-64.941
-0.843,-0.301,0.791,81.604,17.944,-63.049
-0.794,-0.394,0.796,43.152,11.780,-51.025
-0.660,-0.427,0.868,14.526,1.465,-38.269
-0.496,-0.454,0.965,8.057,-7.935,-28.015
-0.439,-0.388,1.067,20.569,-10.864,-14.465
-0.442,-0.247,1.147,34.912,-7.385,-0.793
-0.450,-0.104,1.185,37.842,-1.831,8.850
-0.462,0.007,1.173,28.137,2.319,15.503
-0.455,0.107,1.144,13.733,4.822,18.433
-0.421,0.188,1.114,-0.610,4.639,17.883
-0.381,0.160,1.090,-12.573,1.770,15.137
-0.364,0.124,1.069,-22.644,-2.686,13.977
-0.376,0.096,1.056,-30.396,-6.897,15.625
-0.333,0.076,1.074,-31.372,-9.827,17.395
-0.323,0.186,1.114,-23.987,-10.071,20.630
-0.331,0.290,1.129,-9.338,-7.263,20.691
-0.306,0.316,1.144,5.798,-2.502,15.564
-0.270,0.308,1.169,11.963,1.953,11.414
-0.281,0.272,1.139,6.897,6.104,9.888
-0.283,0.185,1.070,-2.380,8.484,8.484
-0.262,0.112,1.026,-6.775,7.996,7.019
-0.225,0.133,1.016,-3.174,6.470,6.775
-0.208,0.178,1.008,8.423,6.653,5.737
-0.203,0.191,0.999,23.621,8.972,2.869
-0.190,0.175,0.991,33.020,10.376,-0.122
-0.164,0.158,0.994,32.227,10.620,-1.831
-0.155,0.134,0.993,24.048,9.888,-2.686
-0.151,0.096,0.981,13.855,8.606,-3.540
-0.144,0.041,0.951,5.676,6.897,-4.700
-0.138,0.000,0.923,1.038,5.249,-4.211
-0.136,0.010,0.906,0.793,3.479,-2.502
-0.137,0.028,0.921,3.357,2.686,-0.488
-0.136,0.066,0.940,5.920,2.319,1.099
-0.137,0.092,0.949,8.911,3.052,1.648
-0.124,0.117,0.954,11.169,3.967,0.977
-0.127,0.094,0.950,10.742,4.517,-1.099
-0.119,0.051,0.933,5.676,4.517,-2.258
-0.132,0.011,0.920,-1.892,2.930,-1.770
-0.115,-0.008,0.929,-7.263,0.183,-0.977
-0.108,0.040,0.965,-6.348,-1.404,0.671
-0.119,0.104,0.983,0.305,-0.732,0.916
-0.115,0.089,0.980,9.583,2.136,-1.892
-0.111,0.068,0.974,14.709,5.188,-2.441
-0.102,0.061,0.967,12.939,6.653,-0.977
-0.107,0.040,0.959,8.972,6.958,-0.122
-0.098,0.001,0.962,6.226,6.104,0.122
-0.096,0.014,0.954,4.028,5.249,1.892
-0.108,0.045,0.926,4.395,6.042,3.540
-0.120,0.060,0.895,6.836,6.958,3.540
-0.131,0.063,0.889,7.019,6.287,3.540
-0.130,0.066,0.909,5.127,4.028,3.967
-0.132,0.082,0.933,2.136,2.136,4.517
-0.135,0.100,0.950,0.916,0.854,3.906
-0.130,0.098,0.952,2.502,0.305,2.136
-0.130,0.094,0.944,3.845,-0.122,0.793
-0.133,0.099,0.926,4.395,-0.549,-0.061
-0.134,0.096,0.922,4.395,-0.732,-0.977
-0.137,0.080,0.923,3.967,-0.916,-1.953
-0.133,0.042,0.973,3.601,-0.854,-2.380
-0.114,0.035,0.992,1.343,-0.854,-1.892
-0.109,0.049,1.003,-0.793,0.183,-0.244
-0.122,0.088,1.005,0.916,2.197,0.793
-0.140,0.106,0.976,5.066,5.127,-0.305
-0.147,0.104,0.942,9.705,7.507,-1.892
-0.152,0.097,0.924,11.780,6.714,-2.625
-0.152,0.076,0.926,10.742,4.272,-2.930
-0.148,0.046,0.939,9.460,1.343,-2.930
-0.130,0.020,0.960,7.935,-0.427,-2.747
-0.114,0.002,0.975,7.446,-1.526,-2.014
-0.114,0.005,0.976,7.446,-1.221,-0.732
-0.121,0.007,0.966,7.446,-0.183,0.366
-0.128,0.017,0.961,6.104,0.244,1.526
-0.125,0.032,0.974,3.906,0.122,2.502
-0.133,0.041,0.992,1.038,-0.061,2.319
-0.134,0.035,1.002,-2.197,-0.427,1.587
-0.136,0.025,1.005,-5.737,-0.977,0.916
-0.129,0.017,0.996,-8.362,-1.526,0.671
-0.125,0.001,0.983,-9.521,-1.892,1.221
-0.116,0.013,0.977,-8.728,-2.319,2.625
-0.123,0.046,0.979,-4.883,-2.136,3.662
-0.126,0.070,0.989,-0.122,-1.221,3.357
-0.118,0.090,0.999,1.770,-0.671,2.136

1.486,-0.261,1.120,-2.075,-30.151,60.852
1.543,-0.260,1.037,1.526,-20.203,79.346
1.544,-0.214,0.929,5.066,-10.742,98.389
1.533,-0.143,0.818,8.972,-7.263,112.732
1.552,-0.105,0.761,12.939,-10.010,120.850
1.527,-0.033,0.690,10.010,-18.433,126.892
1.400,0.081,0.609,2.991,-26.672,131.348
1.202,0.203,0.504,-2.686,-37.720,128.723
1.054,0.249,0.510,-9.460,-55.786,118.347
1.010,0.232,0.671,-20.386,-73.364,103.455
0.957,0.187,0.804,-35.522,-79.834,90.637
0.865,0.077,0.864,-48.889,-77.454,79.468
0.722,-0.054,0.855,-59.021,-74.158,73.486
0.607,-0.181,0.863,-63.416,-68.665,74.951
0.396,-0.142,0.753,-52.063,-59.204,80.261
0.094,-0.047,0.601,-22.705,-52.124,82.153
-0.151,0.115,0.462,10.925,-52.124,73.669
-0.346,0.282,0.377,36.499,-63.049,55.603
-0.419,0.340,0.465,40.039,-80.933,31.738
-0.418,0.297,0.645,20.081,-96.130,9.277
-0.444,0.126,0.923,-3.174,-95.215,-4.089
-0.443,-0.135,1.214,-13.794,-70.801,-6.104
-0.452,-0.261,1.319,-10.742,-23.560,7.263
