aX,aY,aZ,gX,gY,gZ
-0.419,-0.489,2.249,40.588,70.740,9.399
-0.451,-0.498,2.253,32.898,93.140,17.639
-0.482,-0.489,2.227,26.367,114.929,26.062
-0.522,-0.492,2.202,24.597,136.230,33.752
-0.566,-0.496,2.184,28.076,157.532,42.419
-0.623,-0.502,2.183,34.058,177.490,51.514
-0.680,-0.534,2.191,38.696,193.604,59.570
-0.736,-0.578,2.210,39.551,207.764,64.758
-0.807,-0.630,2.232,37.537,221.130,68.359
-0.897,-0.661,2.235,33.142,235.474,73.364
-0.981,-0.696,2.159,25.146,254.089,79.895
-1.094,-0.673,1.995,12.024,278.748,89.355
-1.195,-0.590,1.763,-0.183,306.702,100.769
-1.284,-0.466,1.456,-6.287,332.581,111.572
-1.270,-0.374,1.120,-10.437,352.905,117.371
-1.198,-0.298,0.803,-18.799,362.000,116.882
-1.117,-0.216,0.575,-33.691,358.154,110.657
-1.058,-0.132,0.369,-49.622,350.647,101.624
-0.996,-0.033,0.226,-58.716,345.459,94.421
-0.952,0.004,0.137,-53.406,341.614,89.722
-0.897,0.056,-0.020,-41.382,346.191,89.783
-0.772,0.115,-0.146,-26.550,349.487,92.590
-0.625,0.153,-0.290,-14.343,348.816,94.666
-0.423,0.183,-0.337,-9.644,343.567,92.957
-0.335,0.208,-0.428,-11.719,336.731,88.196
-0.172,0.209,-0.446,-19.104,328.552,81.116
-0.067,0.177,-0.487,-25.757,316.162,73.975
0.040,0.239,-0.591,-36.987,310.242,69.336
0.127,0.283,-0.673,-38.574,301.086,65.735
0.205,0.295,-0.799,-26.001,293.457,64.697
0.317,0.260,-0.872,-9.949,288.025,67.566
0.472,0.262,-0.963,0.061,281.067,73.914
0.537,0.325,-1.087,-0.366,272.095,80.322
0.523,0.460,-1.243,-10.559,261.047,82.092
0.540,0.566,-1.396,-22.705,245.239,76.660
0.620,0.605,-1.551,-36.072,227.783,66.101
0.705,0.603,-1.742,-55.725,212.830,53.711
0.764,0.562,-1.918,-78.491,196.106,39.856
0.828,0.489,-2.050,-100.708,176.575,24.719
0.863,0.474,-2.204,-118.958,159.363,12.268
0.942,0.476,-2.304,-115.417,138.916,8.545
1.004,0.469,-2.240,-90.454,106.873,7.751
1.054,0.445,-2.094,-56.335,65.063,2.625
1.072,0.361,-1.812,-21.179,18.066,-4.517
1.002,0.249,-1.413,7.263,-26.245,-13.062
0.939,0.162,-1.029,26.672,-57.312,-18.311
0.883,0.086,-0.669,39.978,-75.378,-19.592
0.882,0.036,-0.363,44.312,-80.078,-18.066
0.882,0.021,-0.112,44.250,-78.674,-14.954
0.875,0.013,0.060,41.382,-72.937,-11.902
0.874,-0.010,0.170,36.560,-63.293,-9.766
0.878,-0.034,0.211,28.870,-51.758,-7.812
0.893,-0.041,0.187,15.625,-39.856,-6.836
0.905,0.003,0.115,-0.610,-28.870,-6.470
