aX,aY,aZ,gX,gY,gZ
0.877,0.460,0.844,-4.211,-52.979,-7.385
0.621,0.503,0.709,8.362,-42.786,-15.442
0.392,0.499,0.599,2.014,-32.593,-19.104
0.088,0.471,0.423,-25.452,-20.508,-11.902
-0.195,0.359,0.266,-57.617,-9.644,5.249
-0.426,0.331,0.157,-78.064,-6.104,26.001
-0.700,0.319,0.073,-70.190,-10.315,49.622
-0.978,0.431,0.077,-31.250,-19.531,66.162
-1.252,0.611,0.076,30.151,-34.058,56.274
-1.439,0.657,0.240,103.149,-44.800,21.606
-1.683,0.620,0.376,143.250,-53.650,-11.963
-1.883,0.608,0.426,131.042,-60.242,-34.302
-2.105,0.758,0.485,79.285,-63.843,-49.683
-2.381,0.746,0.637,9.583,-66.833,-66.895
-2.317,0.503,1.006,-64.575,-73.059,-94.482
-2.008,0.173,1.466,-141.968,-82.214,-115.784
-1.472,-0.116,1.851,-201.111,-85.510,-117.249
-0.775,-0.372,1.997,-212.280,-77.454,-102.966
-0.176,-0.529,1.900,-158.264,-54.749,-87.341
0.092,-0.604,1.680,-48.035,-14.648,-82.397
-0.011,-0.676,1.439,73.364,31.433,-85.205
-0.216,-0.706,1.118,157.715,64.148,-75.012
-0.376,-0.687,0.762,194.763,86.365,-38.452
-0.487,-0.514,0.493,195.740,105.835,13.794
-0.617,-0.284,0.281,175.598,106.262,67.261
-0.685,0.077,0.192,146.423,85.083,100.403
-0.661,0.432,0.286,120.728,54.749,110.291
-0.583,0.695,0.474,94.299,22.034,98.267
-0.465,0.819,0.682,63.232,-5.737,75.012
-0.302,0.869,0.862,28.076,-21.423,54.688
-0.234,0.859,0.959,-4.700,-23.254,42.725
-0.230,0.809,0.993,-27.649,-16.541,33.508
-0.229,0.700,0.987,-37.109,-8.789,23.499
-0.228,0.574,0.969,-37.170,-2.808,12.268
-0.235,0.440,0.938,-34.058,1.099,2.380
-0.239,0.328,0.914,-31.921,4.028,-2.502
-0.255,0.236,0.891,-29.785,6.592,-2.869
-0.262,0.218,0.916,-26.550,7.751,-0.977
-0.255,0.249,0.966,-22.095,3.540,1.648
-0.246,0.297,1.000,-17.273,-2.991,2.441
-0.242,0.317,1.039,-12.451,-5.859,1.648
-0.219,0.318,1.078,-7.568,-5.676,1.221
-0.217,0.311,1.085,-3.052,-5.066,1.892
-0.213,0.306,1.082,3.418,-4.333,2.686
-0.201,0.303,1.070,13.306,-2.930,2.502
