aX,aY,aZ,gX,gY,gZ
-0.349,-0.094,2.417,51.636,44.556,-15.991
-0.416,-0.182,2.569,52.734,60.608,-16.907
-0.495,-0.248,2.714,58.105,80.933,-12.329
-0.569,-0.299,2.821,65.674,107.056,-3.418
-0.675,-0.360,2.865,73.486,138.306,8.240
-0.743,-0.402,2.853,76.904,176.086,21.545
-0.829,-0.419,2.729,76.050,216.858,34.302
-0.909,-0.425,2.569,71.716,255.432,46.997
-0.982,-0.413,2.358,63.904,291.626,57.739
-1.056,-0.383,2.080,52.368,323.181,66.956
-1.085,-0.383,1.802,40.710,348.816,73.730
-1.107,-0.364,1.497,29.541,368.103,80.566
-1.143,-0.311,1.202,19.165,378.784,86.670
-1.143,-0.284,0.974,11.047,382.446,89.905
-1.133,-0.254,0.749,1.831,384.216,91.492
-1.082,-0.203,0.514,-6.592,385.376,93.018
-0.965,-0.146,0.291,-10.376,382.141,93.933
-0.848,-0.080,0.093,-12.451,372.620,93.262
-0.725,-0.016,-0.065,-14.771,358.704,88.989
-0.575,-0.011,-0.146,-14.526,339.722,81.543
-0.463,-0.015,-0.185,-14.404,320.496,75.256
-0.378,0.020,-0.218,-12.878,304.932,72.571
-0.256,0.051,-0.219,-7.263,293.091,72.449
-0.142,0.059,-0.220,3.296,284.363,73.364
-0.062,0.074,-0.272,10.986,277.405,74.097
0.040,0.078,-0.331,12.085,268.494,72.266
0.125,0.105,-0.339,7.141,255.615,68.359
0.172,0.125,-0.313,3.052,246.338,65.674
0.208,0.160,-0.357,0.793,245.850,65.063
0.316,0.196,-0.435,-0.061,250.366,65.552
0.433,0.202,-0.568,-0.366,252.930,65.125
0.487,0.197,-0.656,-7.080,249.573,61.523
0.432,0.230,-0.721,-19.043,239.563,54.382
0.394,0.266,-0.785,-28.076,230.103,47.974
0.417,0.279,-0.808,-28.625,221.497,43.457
0.476,0.316,-0.881,-25.146,215.393,40.955
0.502,0.350,-0.937,-16.235,209.778,39.490
0.538,0.356,-0.940,-3.174,201.660,39.368
0.573,0.325,-0.916,7.324,193.970,38.330
0.602,0.316,-0.927,8.423,186.401,34.973
0.630,0.350,-0.953,1.831,179.687,29.663
0.664,0.389,-1.016,-1.587,172.668,24.170
0.693,0.420,-1.097,3.601,164.246,19.653
0.715,0.421,-1.140,18.005,156.189,17.761
0.727,0.379,-1.172,38.757,149.353,18.127
0.751,0.309,-1.171,55.420,143.005,19.531
0.751,0.238,-1.178,59.509,134.949,20.935
0.775,0.191,-1.200,45.532,125.244,19.958
0.790,0.196,-1.240,18.250,113.281,16.052
0.794,0.259,-1.285,-10.010,99.365,11.536
0.795,0.319,-1.333,-25.635,86.975,8.057
0.821,0.367,-1.353,-23.376,77.332,8.667
0.836,0.372,-1.318,-8.667,65.796,10.315
0.816,0.358,-1.249,9.033,52.795,10.986
0.830,0.346,-1.194,21.912,38.940,9.399
0.854,0.294,-1.106,25.879,21.545,3.845
0.856,0.237,-1.003,21.912,3.662,-2.258
0.843,0.210,-0.895,13.306,-10.193,-5.615
0.827,0.213,-0.788,5.737,-19.714,-7.202
0.817,0.217,-0.680,2.930,-25.085,-7.385
0.816,0.198,-0.572,3.479,-27.222,-7.019
0.817,0.187,-0.496,3.906,-26.794,-6.836
0.831,0.184,-0.437,3.174,-25.208,-6.226
0.832,0.173,-0.406,1.831,-23.621,-6.042
0.847,0.158,-0.400,0.305,-21.118,-5.981
0.858,0.145,-0.393,-2.197,-19.287,-5.859
0.863,0.151,-0.387,-5.127,-17.822,-5.615
0.863,0.151,-0.376,-6.531,-15.869,-4.944
0.863,0.148,-0.371,-6.409,-13.428,-4.272
0.863,0.140,-0.390,-5.493,-10.254,-3.845
0.869,0.133,-0.411,-4.395,-7.935,-3.418
0.870,0.138,-0.418,-4.272,-7.324,-3.174
0.858,0.136,-0.419,-4.700,-7.080,-3.174
0.859,0.130,-0.417,-5.371,-4.639,-3.174
0.860,0.135,-0.424,-5.371,-1.404,-2.319
0.859,0.146,-0.443,-4.822,1.770,-0.366
0.855,0.144,-0.465,-3.113,4.456,1.160
0.849,0.143,-0.475,-1.587,6.104,2.502
0.846,0.146,-0.490,-1.282,6.775,2.869
0.854,0.144,-0.514,-2.747,6.897,2.014
0.860,0.151,-0.549,-5.249,6.348,0.793
0.860,0.155,-0.579,-5.920,4.944,-0.122
0.859,0.154,-0.588,-3.540,3.052,-0.061
0.857,0.147,-0.589,-0.854,1.282,-0.183
0.858,0.138,-0.580,0.244,0.061,0.000
0.856,0.142,-0.571,0.061,-1.282,0.244
0.849,0.143,-0.560,-0.732,-2.625,0.427
0.844,0.154,-0.548,-1.648,-3.601,0.488
0.846,0.170,-0.532,-1.892,-4.211,0.244
0.847,0.172,-0.527,-0.977,-4.028,-0.427
0.851,0.166,-0.522,0.793,-3.418,-0.610
0.854,0.158,-0.528,2.319,-3.174,-0.854
0.857,0.159,-0.538,3.662,-2.930,-0.610
0.861,0.152,-0.552,4.639,-3.723,-0.671
0.856,0.147,-0.567,3.967,-4.761,-1.160
0.856,0.149,-0.586,2.380,-5.859,-1.038
0.857,0.148,-0.612,0.671,-6.409,-0.854
0.858,0.157,-0.647,-1.587,-7.568,-0.366
0.856,0.182,-0.695,-4.272,-9.460,0.061
0.859,0.207,-0.748,-5.920,-12.451,0.000
0.861,0.226,-0.790,-6.775,-16.602,-0.610
0.854,0.232,-0.830,-5.737,-21.240,-1.648
0.852,0.220,-0.864,-3.662,-25.696,-2.502
0.857,0.193,-0.888,-3.113,-30.701,-3.052
0.858,0.170,-0.902,-5.066,-37.109,-3.418
0.857,0.162,-0.911,-10.498,-44.739,-4.150
0.849,0.178,-0.922,-18.677,-52.917,-5.371
0.847,0.195,-0.925,-26.917,-60.852,-6.714
0.846,0.214,-0.928,-32.471,-69.458,-8.606
0.842,0.232,-0.911,-34.790,-78.491,-10.498
0.834,0.231,-0.876,-33.936,-87.219,-12.451
0.824,0.218,-0.829,-31.006,-94.971,-14.099
0.822,0.203,-0.778,-28.564,-101.013,-14.587
0.822,0.185,-0.730,-27.649,-106.018,-14.832
0.814,0.162,-0.682,-28.625,-110.840,-15.076
0.808,0.148,-0.631,-31.067,-114.929,-15.015
0.799,0.143,-0.585,-33.203,-118.591,-14.343
0.789,0.157,-0.553,-34.485,-121.277,-13.550
0.796,0.178,-0.540,-34.607,-124.146,-14.343

-0.492,-0.084,2.657,70.557,19.592,-17.578
-0.587,-0.139,2.936,76.843,50.720,-10.986
-0.650,-0.187,3.152,84.473,89.661,-3.662
-0.718,-0.261,3.292,93.506,132.629,6.470
-0.800,-0.334,3.349,101.196,175.232,17.700
-0.893,-0.424,3.332,104.919,220.215,30.029
-1.008,-0.479,3.225,104.736,264.526,45.044
-1.106,-0.516,3.020,98.389,308.228,61.707
-1.219,-0.508,2.745,83.801,348.633,77.820
-1.335,-0.458,2.430,63.477,384.277,90.942
-1.460,-0.422,2.053,42.480,415.283,100.769
-1.544,-0.370,1.664,22.156,440.735,109.314
-1.595,-0.321,1.268,4.272,457.825,116.394
-1.620,-0.240,0.846,-12.512,467.407,120.605
-1.576,-0.172,0.466,-28.076,465.881,120.850
-1.412,-0.096,0.144,-39.917,453.064,117.981
-1.237,0.002,-0.131,-46.326,430.786,112.610
